statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge_cj_court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court,judge
Supreme Court Justice,,2013-01-01,2026-12-31,Suffolk,10th Judicial District - Suffolk,2013,,,,,,SUFF/SJ/SUPERIOR CRIM CTS,Richard Ambro
Supreme Court Justice,"PRES JUS, AP DIV",2020-01-01,2026-12-31,Erie,Appellate Division 4th Department,2006,,,,,,ADP/04/01,Gerald J Whalen
Court of Claims Judge,SUP CT JUSTICE,2025-06-10,2033-03-31,Onondaga,5th Judicial District,2017,,,,,,,Gordon J Cuffy
Court of Claims Judge,SUP CT JUSTICE,2023-01-01,2031-12-31,Erie,8th Judicial District,2022,,,,,,,Michael Siragusa
Court of Claims Judge,SUP CT JUSTICE,2018-08-27,2027-08-26,New York,NYC Supreme Criminal,2009,,,,,,,Juan M Merchan
Supreme Court Justice,,2022-01-01,2035-12-31,Queens,Queens Supreme,2022,,,,,,,Michele R Titus
Supreme Court Justice,,2022-01-01,2031-12-31,Suffolk,10th Judicial District - Suffolk,2022,,,,,,,Christopher Modelewski
Court of Claims Judge,SUP CT JUSTICE,2019-04-29,2028-04-28,New York,NYC Supreme Criminal,2012,,,,,,,April A Newbauer
Supreme Court Justice,,2019-01-01,2032-12-31,Suffolk,10th Judicial District - Suffolk,2019,,,,,,,Michael A GajdosJr
Court of Claims Judge,SUP CT JUSTICE,2014-08-01,2023-07-31,Albany,3rd Judicial District,2006,,,,,,,Kimberly A O'Connor
,"ASC JUS, AP DIV, TPCT",,,New York,Appellate Division 1st Department,2002,,,"ASC JUS, AP DIV, TPCT",2024-01-01,2029-12-31,ADP/01/06,Barbara R Kapnick
Supreme Court Justice,,2022-01-01,2034-12-31,Erie,8th Judicial District,2022,,,,,,,Grace M Hanlon
Supreme Court Justice,"ASC JUS, AP DIV",2024-01-01,2028-12-31,Westchester,Appellate Division 2nd Department,2009,,,,,,ADP/02/03,Francesca E Connolly
Supreme Court Justice,"ASC JUS, AP DIV",2023-01-01,2036-12-31,Erie,8th Judicial District,2009,,,,,,ADP/04/05,Tracey A Bannister
Supreme Court Justice,,2013-01-01,2026-12-31,Schenectady,4th Judicial District,2013,,,,,,,Thomas D Buchanan
Supreme Court Justice,,2021-01-01,2034-12-31,Queens,Queens Supreme,2021,,,,,,,Karina E Alomar
Supreme Court Justice,,2022-01-01,2029-12-31,Kings,Kings Supreme,2022,,,,,,,Consuelo M Melendez
Supreme Court Justice,,2017-01-01,2030-12-31,New York,NYC Supreme Civil,2017,,,,,,,Andrea Masley
Associate Judge COA,,2021-06-08,2035-06-07,New York,Court of Appeals,2018,,,,,,,Anthony Cannataro
Supreme Court Justice,"ASC JUS, AP DIV",2013-01-01,2026-12-31,Schenectady,Appellate Division 3rd Department,2013,,,,,,ADP/03/05,Christine M Clark
,,,,Westchester,9th Judicial District,2006,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,,Lewis J Lubell
Supreme Court Justice,,2021-01-01,2034-12-31,New York,NYC Supreme Civil,2021,,,,,,,David B Cohen
,"ASC JUS, AP DIV, TPCT",,,Kings,Kings Supreme,2008,,,"ASC JUS, AP DIV, TPCT",2023-01-01,2028-12-31,ADT/02/04,Paul Wooten
Supreme Court Justice,,2026-01-01,2035-12-31,Kings,Kings Supreme,2026,,,,,,,Norma J Jennings
,,,,Albany,3rd Judicial District,2015,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,,Denise A Hartman
Court of Claims Judge,,2025-07-07,2030-12-31,Onondaga,Court of Claims,2025,,,,,,,Abby R Perer
,"ASC JUS, AP DIV, TEMP",,,New York,Appellate Division 1st Department,2006,,,"ASC JUS, AP DIV, TPCT",2026-01-01,2031-12-31,ADT/01/06,Martin Shulman
Supreme Court Justice,,2020-01-01,2033-12-31,Bronx,Bronx Supreme Civil,2020,,,,,,,Shawn T Kelly
Supreme Court Justice,,2020-01-01,2033-12-31,New York,NYC Supreme Civil,2020,,,,,,,Jennifer G Schecter
Court of Claims Judge,,2018-08-27,2027-08-26,Albany,3rd Judicial District,2006,,,,,,,Roger D McDonough
Supreme Court Justice,,2023-01-01,2036-12-31,Queens,Queens Supreme,2023,,,,,,,Leigh K Cheng
Court of Claims Judge,SUP CT JUSTICE,2019-05-30,2028-05-29,Kings,Kings Supreme,2000,,,,,,,Guy J ManganoJr
Supreme Court Justice,,2023-01-01,2036-12-31,Queens,Queens Supreme,2023,,,,,,,Denise N Johnson
,,,,Rockland,9th Judicial District,2019,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,,Thomas P Zugibe
Court of Claims Judge,,2014-06-03,2023-06-02,Broome,Court of Claims,2006,,,,,,,Catherine C Schaewe
,"ASC JUS, AP DIV, TPCT",,,Schenectady,Appellate Division 3rd Department,2017,,,"ASC JUS, AP DIV, TPCT",2026-01-01,2031-12-31,ADT/03/06,Mark L Powers
Court of Claims Judge,,2024-06-06,2033-03-31,Kings,Kings Supreme,2024,,,,,,,Melissa Dejesus
Supreme Court Justice,,2022-01-01,2033-12-31,Queens,Queens Supreme,2022,,,,,,,David J Kirschner
Court of Claims Judge,SUP CT JUSTICE,2023-08-01,2032-07-31,New York,NYC Supreme Civil,2022,,,,,,,Anar Patel
Associate Judge COA,,2023-04-19,2036-12-31,Albany,Court of Appeals,2023,,,,,,,Caitlin J Halligan
Supreme Court Justice,,2025-01-01,2038-12-31,Rockland,9th Judicial District,2025,,,,,,,Rachel E Tanguay
Supreme Court Justice,,2026-01-01,2039-12-31,Lewis,3rd Judicial District,2026,,,,,,,Candace Ll Randall
Court of Claims Judge,,2023-06-23,2031-12-31,Rockland,Court of Claims,2023,,,,,,,David Fried
Supreme Court Justice,,2017-01-01,2030-12-31,New York,NYC Supreme Civil,2017,,,,,,,Robert R Reed
Chief Judge COA,,2023-04-18,2030-12-31,New York,Court of Appeals,2017,,,,,,,Rowan D Wilson
Supreme Court Justice,,2026-01-01,2039-12-31,Albany,3rd Judicial District,2026,,,,,,,William T Little
Supreme Court Justice,,2025-01-01,2038-12-31,Queens,Queens Supreme,2025,,,,,,,Lumarie MaldonadoCruz
Court of Claims Judge,,2021-07-07,2023-07-31,Monroe,Court of Claims,2021,,,,,,,Ramon E Rivera
Court of Claims Judge,,2024-04-01,2033-03-31,New York,Court of Claims,2022,,,,,,,Javier E Vargas
Supreme Court Justice,,2025-01-01,2038-12-31,Orange,9th Judicial District,2025,,,,,,,Brett A Broge
Supreme Court Justice,,2026-01-01,2031-12-31,Queens,Queens Supreme,2026,,,,,,,Ira R Greenberg
Supreme Court Justice,,2026-01-01,2030-12-31,Nassau,10th Judicial District - Nassau,2026,,,,,,,Paul J Kenny
Court of Claims Judge,SUP CT JUSTICE,2018-06-20,2022-12-31,Suffolk,10th Judicial District - Suffolk,2018,,,,,,,Chris Ann Kelley
Supreme Court Justice,,2019-01-01,2032-12-31,Bronx,Bronx Supreme Civil,2019,,,,,,,Elizabeth A Taylor
Housing Court Judge NYC,,2023-04-05,2028-04-04,Kings,"NYC Civil Court, Kings County",2018,,,,,,,Karen M Bacdayan
Housing Court Judge NYC,,2025-03-13,2030-03-12,Kings,"NYC Civil Court, Kings County",2025,,,,,,,Madalina A Danescu
Housing Court Judge NYC,,2022-07-23,2032-07-22,New York,"NYC Civil Ct, New York County",2007,,,,,,,Eleanora Ofshtein
Housing Court Judge NYC,,2023-04-13,2028-04-13,Kings,"NYC Civil Court, Kings County",2023,,,,,,,Sulay K Grant
Housing Court Judge NYC,,2023-03-30,2028-03-29,Bronx,"NYC Civil Court, Bronx County",2023,,,,,,,Rina Gurung
Housing Court Judge NYC,,2023-03-08,2028-03-07,Bronx,"NYC Civil Court, Bronx County",2018,,,,,,,Christel F Garland
Housing Court Judge NYC,,2021-06-16,2026-06-15,New York,"NYC Civil Ct, New York County",2016,,,,,,,Daniele Chinea
Housing Court Judge NYC,,2023-03-30,2028-03-29,Kings,"NYC Civil Court, Kings County",2023,,,,,,,Shantonu J Basu
Housing Court Judge NYC,,2023-03-27,2028-03-26,Queens,"NYC Civil Court, Queens County",2003,,,,,,,John S Lansden
Housing Court Judge NYC,,2023-09-01,2028-08-31,New York,"NYC Civil Ct, New York County",2023,,,,,,,Joan M BurrellRubel
Housing Court Judge NYC,,2022-09-01,2027-08-31,Kings,"NYC Civil Court, Kings County",2022,,,,,,,Tashanna Golden
Housing Court Judge NYC,,2023-05-20,2028-05-19,Queens,"NYC Civil Court, Queens County",2013,,,,,,,Clifton A Nembhard
Housing Court Judge NYC,,2021-06-27,2026-06-26,Bronx,"NYC Civil Court, Bronx County",2016,,,,,,,Diane E Lutwak
Housing Court Judge NYC,,2024-06-09,2029-06-08,Kings,"NYC Civil Court, Kings County",2014,,,,,,,Enedina P Sanchez
Housing Court Judge NYC,,2025-05-26,2030-05-25,Bronx,Bronx County Sup Ct Civil Term,2015,,,,,,,Bernadette G Black
Housing Court Judge NYC,,2023-03-30,2028-03-29,Bronx,"NYC Civil Court, Bronx County",2023,,,,,,,Agata E RumprechtBehrens
Housing Court Judge NYC,,2023-03-30,2028-03-29,Queens,"NYC Civil Court, Queens County",2023,,,,,,,Logan J Schiff
Housing Court Judge NYC,,2022-03-01,2027-02-28,Bronx,"NYC Civil Court, Bronx County",2017,,,,,,,Krzysztof P Lach
Housing Court Judge NYC,,2023-03-08,2028-03-07,Richmond,"NYC Civil Ct, Richmond County",2018,,,,,,,Remy Smith
Housing Court Judge NYC,,2020-12-28,2025-12-27,New York,"NYC Civil Ct, New York County",2015,,,,,,,Evon M Asforis
Housing Court Judge NYC,,2022-01-24,2027-01-23,Kings,"NYC Civil Court, Kings County",2022,,,,,,,Travis J Arrindell
Housing Court Judge NYC,,2022-02-14,2027-02-13,Kings,"NYC Civil Court, Kings County",2017,,,,,,,Frances A Ortiz
Housing Court Judge NYC,,2022-02-27,2027-02-26,Kings,"NYC Civil Court, Kings County",2017,,,,,,,Julie Poley
Housing Court Judge NYC,,2023-07-26,2028-07-25,Queens,"NYC Civil Court, Queens County",2018,,,,,,,Bryant F Tovar
Housing Court Judge NYC,,2021-03-18,2026-03-17,Bronx,"NYC Civil Court, Bronx County",2021,,,,,,,Kisha L Miller
Housing Court Judge NYC,,2025-03-13,2030-03-12,Kings,"NYC Civil Court, Kings County",2025,,,,,,,Rachel Vincent
Housing Court Judge NYC,,2023-05-31,2028-05-30,Queens,"NYC Civil Court, Queens County",2018,,,,,,,Shorab Ibrahim
Housing Court Judge NYC,,2021-06-10,2026-06-09,Richmond,"NYC Civil Ct, Richmond County",2021,,,,,,,Vanessa Fang
Housing Court Judge NYC,,2024-05-12,2029-05-11,Bronx,"NYC Civil Court, Bronx County",2014,,,,,,,Miriam M Breier
Housing Court Judge NYC,,2024-08-15,2029-08-14,Bronx,"NYC Civil Court, Bronx County",2024,,,,,,,Leslie A Granger
Housing Court Judge NYC,,2022-01-01,2026-12-31,Bronx,"NYC Civil Court, Bronx County",2022,,,,,,,Omer Shahid
Housing Court Judge NYC,,2025-08-24,2030-08-23,Bronx,"NYC Civil Court, Bronx County",2015,,,,,,,Howard J Baum
Housing Court Judge NYC,,2024-08-15,2029-08-14,New York,"NYC Civil Ct, New York County",2024,,,,,,,Yekaterina S Blinova
Housing Court Judge NYC,,2021-03-21,2026-03-20,Kings,"NYC Civil Court, Kings County",2011,,,,,,,Hannah Cohen
Housing Court Judge NYC,,2022-02-21,2027-02-20,Queens,"NYC Civil Court, Queens County",2017,,,,,,,David J Bryan
Housing Court Judge NYC,,2024-09-09,2029-09-08,Kings,"NYC Civil Court, Kings County",2024,,,,,,,Elyssa O Slutsky
Housing Court Judge NYC,,2024-07-28,2029-07-27,Queens,"NYC Civil Court, Queens County",2014,,,,,,,Kimon C Thermos
Housing Court Judge NYC,,2024-04-14,2029-04-13,Bronx,"NYC Civil Court, Bronx County",1994,,,,,,,Elizabeth JY Tao
Housing Court Judge NYC,,2023-06-28,2028-06-27,Bronx,"NYC Civil Court, Bronx County",2018,,,,,,,David A Harris
Housing Court Judge NYC,,2022-10-13,2027-10-12,Queens,"NYC Civil Court, Queens County",2022,,,,,,,Vijay M Kitson
Housing Court Judge NYC,,2025-03-13,2030-03-12,Bronx,"NYC Civil Court, Bronx County",2025,,,,,,,Susan R Winograd
Housing Court Judge NYC,,2026-01-01,2030-12-31,Kings,"NYC Civil Court, Kings County",2026,,,,,,,Michael A Faleck
Housing Court Judge NYC,,2022-01-01,2026-12-31,New York,"NYC Civil Ct, New York County",2022,,,,,,,Tracy E Ferdinand
Housing Court Judge NYC,,2024-09-09,2029-09-08,Queens,"NYC Civil Court, Queens County",2024,,,,,,,Jordan M Dressler
Housing Court Judge NYC,,2023-07-20,2028-07-19,New York,"NYC Civil Ct, New York County",2023,,,,,,,Alberto M Gonzalez
Housing Court Judge NYC,,2024-08-15,2029-08-14,Kings,"NYC Civil Court, Kings County",2024,,,,,,,Javier E Ortiz
Housing Court Judge NYC,,2024-08-15,2029-08-14,Bronx,"NYC Civil Court, Bronx County",2024,,,,,,,Amira E Hassan
Housing Court Judge NYC,,2025-06-12,2030-06-11,Kings,"NYC Civil Court, Kings County",2015,,,,,,,Michael L Weisberg
Housing Court Judge NYC,,2022-01-01,2026-12-31,Bronx,"NYC Civil Court, Bronx County",2022,,,,,,,Elizabeth Donoghue
Housing Court Judge NYC,,2023-09-06,2028-09-05,Kings,"NYC Civil Court, Kings County",2018,,,,,,,Sergio Jimenez
Housing Court Judge NYC,,2020-11-01,2030-10-31,New York,"NYC Civil Ct, New York County",2010,,,,,,,Jack Stoller
Housing Court Judge NYC,,2024-03-11,2029-03-10,New York,"NYC Civil Ct, New York County",2019,,,,,,,Clinton J Guthrie
Housing Court Judge NYC,,2024-09-09,2029-09-08,New York,"NYC Civil Ct, New York County",2024,,,,,,,Adam R Meyers
Housing Court Judge NYC,,2022-06-10,2027-06-09,Kings,"NYC Civil Court, Kings County",2002,,,,,,,Kevin C McClanahan
Housing Court Judge NYC,,2023-04-13,2028-04-13,New York,"NYC Civil Ct, New York County",2023,,,,,,,Jason P Vendzules
City Court Judge,,2025-10-01,2029-09-30,Oneida,Sherrill City Court,2013,,,,,,,James W Betro
City Court Judge,,2023-01-01,2028-12-31,Cattaraugus,Olean City Court,2020,,,,,,,Matthew R Swenson
City Court Judge,,2022-01-01,2027-12-31,Otsego,Oneonta City Court,2022,,,,,,,Robert A Gouldin
